aX,aY,aZ,gX,gY,gZ
1.368,-2.315,2.656,6.531,231.079,124.207
0.900,-2.381,3.047,-9.705,208.130,76.050
0.456,-2.176,3.603,-24.841,182.922,24.536
0.206,-1.793,3.997,-38.879,156.250,-16.968
0.383,-1.322,3.713,-50.171,109.497,-45.532
0.629,-0.793,2.576,-49.805,29.541,-59.082
0.640,-0.350,1.101,-29.480,-67.017,-60.059
0.420,0.029,-0.184,4.944,-146.118,-47.729
0.128,0.238,-0.995,49.683,-178.467,-21.179
0.092,0.147,-1.236,96.985,-158.569,8.545
0.227,-0.159,-1.086,128.662,-149.048,34.058
0.275,-0.549,-0.828,131.042,-170.105,55.298
0.274,-0.955,-0.668,106.201,-183.533,65.552
0.276,-1.210,-0.581,65.552,-174.194,58.594
0.232,-1.265,-0.484,26.794,-136.719,39.368
0.207,-1.208,-0.336,1.038,-79.285,15.625
0.200,-1.124,-0.131,-11.841,-28.442,-4.028
0.177,-1.052,0.123,-18.250,-2.319,-17.517
0.150,-0.987,0.412,-22.949,10.925,-25.269
0.167,-0.914,0.691,-24.048,18.982,-27.405
0.187,-0.855,0.874,-22.583,17.456,-26.611
0.214,-0.848,0.934,-20.325,10.376,-23.560
0.243,-0.884,0.867,-18.433,0.977,-20.996
0.236,-0.903,0.778,-16.907,-8.667,-21.118
0.209,-0.883,0.734,-11.841,-13.855,-22.156
0.196,-0.879,0.742,-1.831,-14.832,-23.987
0.187,-0.907,0.756,8.911,-17.517,-27.100
0.194,-0.861,0.740,14.954,-25.574,-31.555
0.161,-0.788,0.714,14.648,-37.170,-33.081
0.131,-0.794,0.612,8.545,-49.683,-32.288
0.098,-0.862,0.477,-0.671,-63.232,-32.837
0.021,-0.913,0.342,-8.850,-76.904,-34.607
-0.070,-0.952,0.231,-13.428,-85.083,-36.926
-0.160,-0.968,0.170,-16.541,-84.167,-39.001
-0.209,-0.964,0.132,-19.897,-75.378,-40.588
-0.231,-0.929,0.110,-23.315,-64.575,-42.297
-0.274,-0.899,0.123,-25.146,-55.298,-42.969
-0.314,-0.880,0.127,-26.550,-46.753,-42.480
-0.367,-0.890,0.145,-27.100,-37.903,-41.565
-0.410,-0.912,0.154,-26.428,-29.724,-41.504
-0.431,-0.903,0.124,-24.292,-24.231,-41.016
-0.474,-0.884,0.108,-21.240,-20.020,-39.124
-0.503,-0.870,0.114,-19.592,-14.465,-36.743
-0.507,-0.846,0.123,-19.775,-7.996,-33.813
-0.503,-0.818,0.149,-19.714,-2.869,-29.541
-0.482,-0.802,0.179,-18.860,2.136,-24.841
-0.461,-0.806,0.218,-18.250,7.996,-20.203
-0.457,-0.851,0.274,-17.578,12.878,-16.602
-0.439,-0.911,0.323,-15.503,16.296,-14.893
-0.430,-0.925,0.364,-13.428,18.127,-14.282
-0.434,-0.924,0.415,-12.878,19.043,-15.869
-0.441,-0.924,0.455,-14.587,18.677,-18.066
-0.446,-0.889,0.489,-19.592,17.212,-20.630
-0.461,-0.803,0.468,-25.940,15.259,-22.095
-0.463,-0.744,0.442,-28.015,11.780,-21.729
-0.442,-0.724,0.428,-26.672,8.850,-19.043
-0.414,-0.716,0.395,-24.170,7.141,-15.442
-0.313,-0.676,0.432,-18.982,9.216,-10.742
-0.341,-0.715,0.499,-11.536,-0.793,-4.578
-0.358,-0.795,0.502,-7.141,-6.531,-2.930
-0.315,-0.860,0.506,-7.324,4.089,-4.517
-0.356,-0.880,0.537,-8.362,8.606,-7.263
-0.397,-0.858,0.558,-8.728,5.554,-8.972
-0.395,-0.823,0.545,-9.338,2.502,-9.705
-0.395,-0.785,0.517,-11.536,-2.441,-8.728
-0.392,-0.761,0.466,-15.503,-7.324,-7.263
-0.361,-0.745,0.436,-18.677,-6.897,-5.554
-0.344,-0.750,0.440,-17.761,-6.470,-3.052
-0.366,-0.779,0.455,-12.939,-9.949,0.061
-0.384,-0.829,0.461,-6.592,-14.282,2.930
-0.391,-0.878,0.452,-1.526,-18.066,4.089
-0.407,-0.910,0.430,1.099,-20.508,3.418
-0.426,-0.912,0.416,1.892,-20.569,1.221
-0.427,-0.890,0.414,1.648,-17.639,-0.793
-0.417,-0.875,0.415,0.366,-14.771,-2.136
-0.415,-0.875,0.426,-1.709,-12.390,-2.991
-0.408,-0.863,0.437,-4.150,-9.216,-3.723
-0.393,-0.859,0.441,-6.348,-5.493,-4.456
-0.396,-0.882,0.463,-8.179,-3.723,-5.554
-0.401,-0.899,0.497,-9.644,-2.563,-6.897
-0.403,-0.900,0.520,-10.864,-2.197,-8.484
-0.410,-0.899,0.536,-12.634,-2.563,-10.193
2.088,-0.403,0.717,31.250,272.278,62.927
2.132,-0.458,1.014,56.213,291.077,69.397
2.089,-0.558,1.409,69.641,313.416,75.195
1.957,-0.661,1.919,72.083,330.688,79.224
1.650,-0.868,2.492,62.927,338.074,76.416
1.226,-1.072,3.079,44.678,335.266,63.965
0.694,-1.161,3.786,21.545,321.594,44.922
0.243,-1.048,4.000,-5.676,302.673,23.621
0.039,-0.742,4.000,-40.039,277.466,5.737
0.497,-0.447,4.000,-86.487,251.221,-6.531
0.895,-0.269,2.853,-109.070,166.199,-19.409
0.417,0.009,1.133,-79.834,-5.859,-17.639
-0.003,0.228,0.062,-8.972,-120.667,-7.385
-0.092,0.186,-0.238,74.402,-135.254,2.686
-0.177,-0.025,-0.094,129.089,-123.108,18.738
-0.220,-0.319,0.039,137.634,-85.510,36.255
0.096,-0.544,0.094,113.098,-26.794,46.021
0.266,-0.709,0.167,81.482,-14.587,47.729
0.260,-0.809,0.256,53.650,-60.486,43.884
0.200,-0.889,0.335,27.893,-99.365,37.476
0.139,-0.973,0.327,3.296,-102.295,26.062
0.087,-0.949,0.282,-17.639,-82.947,10.864
0.040,-0.857,0.296,-30.090,-57.983,-0.793
-0.002,-0.763,0.371,-38.147,-35.461,-6.042
0.013,-0.760,0.563,-49.377,-22.400,-10.376
-0.091,-0.735,0.691,-70.190,-25.208,-20.386
-0.118,-0.651,0.756,-89.844,-3.418,-26.306
-0.025,-0.604,0.866,-96.741,27.954,-28.198
0.012,-0.589,0.998,-99.060,41.565,-28.198
0.013,-0.565,1.092,-102.905,36.560,-27.344
-0.017,-0.577,1.159,-108.398,27.893,-27.100
-0.024,-0.593,1.147,-114.563,24.780,-28.625
-0.007,-0.504,1.058,-110.718,25.085,-30.212
-0.018,-0.393,1.007,-89.722,22.705,-30.823
-0.036,-0.313,1.040,-61.768,20.569,-29.236
-0.049,-0.271,1.080,-43.030,20.020,-25.146
-0.039,-0.241,1.105,-34.973,16.357,-18.860
-0.028,-0.270,1.146,-32.471,8.789,-11.963
-0.016,-0.340,1.175,-33.447,1.282,-5.981
-0.009,-0.405,1.125,-38.391,-6.958,-2.563
-0.006,-0.466,1.041,-42.786,-16.357,-1.404
-0.014,-0.508,0.999,-43.335,-23.804,-2.319
-0.054,-0.522,1.001,-41.809,-27.893,-4.150
-0.101,-0.504,0.995,-40.649,-28.687,-6.348
-0.125,-0.447,0.909,-38.330,-30.823,-8.057
-0.137,-0.393,0.830,-30.518,-33.691,-8.240
-0.151,-0.380,0.811,-19.653,-34.607,-8.240
-0.163,-0.388,0.836,-10.742,-30.640,-7.996
-0.153,-0.392,0.883,-5.798,-24.719,-7.874
-0.144,-0.399,0.961,-3.906,-20.630,-8.118
-0.154,-0.402,1.007,-7.019,-18.555,-7.751
-0.147,-0.425,1.008,-14.465,-18.494,-8.423
-0.152,-0.435,0.995,-22.400,-17.395,-9.644
-0.137,-0.399,0.961,-27.039,-16.113,-10.864
-0.129,-0.353,0.955,-27.893,-15.137,-11.292
-0.123,-0.340,0.973,-27.893,-14.404,-10.803
-0.098,-0.343,0.965,-28.381,-14.526,-9.460
-0.080,-0.308,0.949,-27.649,-15.442,-8.301
-0.114,-0.268,0.995,-21.912,-15.991,-7.446
-0.149,-0.246,1.051,-15.259,-15.686,-6.836
-0.138,-0.214,1.037,-13.428,-18.066,-6.226
-0.135,-0.187,0.996,-14.893,-23.010,-4.150
-0.146,-0.197,0.956,-16.113,-27.527,-2.197
-0.155,-0.216,0.936,-16.052,-29.419,-0.854
-0.167,-0.241,0.932,-13.062,-29.602,0.549
-0.174,-0.274,0.940,-9.094,-30.273,0.793
-0.190,-0.290,0.976,-5.066,-31.738,0.488
-0.216,-0.308,1.008,-1.160,-32.654,0.061
-0.220,-0.292,1.013,2.563,-34.546,-0.610
-0.215,-0.273,1.008,6.470,-38.025,-0.793
-0.201,-0.296,1.001,10.132,-40.833,-0.916
-0.229,-0.291,0.978,12.268,-43.579,-0.854
-0.277,-0.279,0.937,15.320,-46.204,0.610
-0.256,-0.269,0.914,18.433,-43.396,0.488
-0.240,-0.285,0.937,19.043,-39.795,0.671
-0.233,-0.304,0.978,16.968,-38.574,0.977
-0.249,-0.299,1.014,14.893,-37.231,1.892
-0.236,-0.277,1.060,14.160,-35.828,1.526
-0.213,-0.286,1.094,14.404,-36.926,1.465
-0.192,-0.292,1.076,13.855,-40.894,2.014
-0.162,-0.295,1.031,14.038,-45.349,2.563
-0.137,-0.316,0.985,16.418,-48.706,3.113
-0.140,-0.337,0.962,20.081,-50.110,3.357
-0.141,-0.353,0.957,23.743,-50.232,2.014
-0.165,-0.384,0.951,28.503,-49.805,2.075
